"","Team","Games","Win","Loss","Off.Rank","Off.Plays","Off.Yards","Off.Yards.Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards.Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","X4th.Down.Rank","X4th.Attempts","X4th.Conversions","X4th.Percent","X4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","...40","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown.x","Pass.Yards","Pass.Yards.Attempt","Yards.Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards.Attempt.Allowed","Yards.Completion.Allowed","Pass.Yards.Per.Game.Allowed","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards.Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds.Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","X2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Scoring.Off.Rank","Touchdowns","PAT","X2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","X3rd.Down.Rank","X3rd.Attempts","X3rd.Conversions","X3rd.Percent","X3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown.y","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"24","Indiana University",13,8,5,41,940,5626,5.99,48,432.8,36,853,4579,5.37,37,39,352.2,41,95,117,36,248,41,95,117,36,248,92,8,18,0.444,64,12,23,0.522,50,27,43,540,0,20,50,27,43,540,0,20,15,473,321,9,3931,8.31,12.25,24,302.4,46,219,394,2778,20,7.05,12.68,213.7,111,88,830,63.85,87,7,64,0,9.14,87,7,64,0,9.14,56,62,24,15,14,53,0.855,115,38,12,12,10,34,0.895,106,467,1695,3.63,24,130.4,43,459,1801,3.92,17,138.5,67,27,148,2.08,45,39,35,2,0,14,1,317,24.4,43,51,46,2,0,19,0,413,31.8,53,66,28,299,80,6.2,15,177,83,0.469,34,62,176,0.352,7,"   438:31","   33:43",50,10,7,17,6,9,15,2,0.15,"B10",35,19,107.5,95.2,0.802,51,48.2,17.9,18.1,28.1,28.1,34.6,29.2,53.1,47.3,31.2,33.1,68.5,0,NA,NA,"No",16587,13243,5873,25,72,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68
"25","Iowa State University",13,7,6,27,896,5776,6.45,51,444.3,45,896,4801,5.36,35,39,369.3,37,105,130,11,246,37,105,130,11,246,98,9,21,0.429,74,8,15,0.533,46,57,12,1127,1,19.77,46,57,12,1127,1,19.77,11,484,315,9,4047,8.36,12.85,29,311.3,72,279,441,2987,22,6.77,10.71,229.8,8,61,496,38.15,41,16,99,0,6.19,41,16,99,0,6.19,8,53,19,18,13,50,0.943,113,37,10,11,12,33,0.892,102,412,1729,4.2,22,133,47,455,1814,3.99,13,139.5,18,18,117,1.38,50,39,35,1,0,22,0,337,25.9,39,53,49,0,0,17,0,418,32.2,36,73,24,299,85,6.5,87,168,64,0.381,89,84,203,0.414,51,"   395:15","   30:24",86,7,6,13,7,9,16,-3,-0.23,"B12",35,23,118.4,96.6,0.912,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,69.1,4.3,"R64",6,"No",8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65
"26","University of Kansas",12,3,9,90,773,4527,5.86,35,377.3,122,927,5702,6.15,54,56,475.2,125,151,138,20,309,125,151,138,20,309,121,7,20,0.35,56,8,16,0.5,62,26,15,531,0,20.42,62,26,15,531,0,20.42,66,390,235,14,2778,7.12,11.82,25,231.5,98,240,376,2994,22,7.96,12.48,249.5,52,66,601,50.08,127,18,274,1,15.22,127,18,274,1,15.22,37,34,7,13,10,30,0.882,99,61,30,13,10,53,0.869,86,383,1749,4.57,10,145.8,124,551,2708,4.91,32,225.7,55,23,152,1.92,120,56,50,0,1,15,0,433,36.1,100,36,27,3,0,11,0,282,23.5,109,52,16,236,60,5,72,166,65,0.392,128,92,176,0.523,120,"   320:40","   26:43",125,2,6,8,6,14,20,-12,-1,"B12",36,26,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46,35,33.6,71.5,8.3,"R32",4,"No",8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
"27","Kansas State University",13,8,5,103,841,4666,5.55,41,358.9,44,776,4789,6.17,31,31,368.4,15,96,109,19,224,15,96,109,19,224,33,9,15,0.6,23,7,17,0.412,22,33,29,597,0,18.09,22,33,29,597,0,18.09,108,303,181,5,2352,7.76,12.99,12,180.9,33,207,350,2638,12,7.54,12.74,202.9,63,77,679,52.23,117,10,126,0,12.6,117,10,126,0,12.6,1,52,28,7,15,50,0.962,130,34,14,4,15,33,0.971,47,538,2314,4.3,29,178,76,426,2151,5.05,19,165.5,58,25,128,1.92,27,31,30,1,0,20,0,278,21.4,61,47,46,0,0,19,0,385,29.6,109,54,22,269,65,5,34,174,75,0.431,2,42,150,0.28,9,"   434:52","   33:27",57,4,11,15,9,5,14,1,0.08,"B12",34,25,108,87.8,0.9151,49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,48.9,49,33.4,31.4,64.9,6.5,"R64",4,"No",5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54
"28","Louisiana Tech University",13,10,3,35,933,5679,6.09,48,436.8,53,941,4910,5.22,33,35,377.7,77,97,153,19,269,77,97,153,19,269,115,6,16,0.375,53,15,31,0.484,63,57,9,1171,1,20.54,63,57,9,1171,1,20.54,32,458,285,10,3490,7.62,12.25,21,268.5,90,278,463,3126,14,6.75,11.24,240.5,32,72,605,46.54,87,14,128,0,9.14,87,14,128,0,9.14,43,49,22,11,10,43,0.878,1,51,16,8,9,33,0.647,57,475,2189,4.61,27,168.4,38,478,1784,3.73,19,137.2,77,29,164,2.23,30,35,35,0,0,13,0,284,21.8,35,54,53,0,0,15,0,422,32.5,59,65,28,239,79,6.1,46,174,72,0.414,31,68,195,0.349,43,"   399:38","   30:44",26,9,17,26,9,10,19,7,0.54,"CUSA",31,20,103.3,102.1,0.5326,49.8,49.3,17,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33,67,-7,NA,NA,"No",2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45
"29","University of Louisville",13,8,5,24,871,5815,6.68,55,447.3,102,904,5719,6.33,58,58,439.9,111,127,137,22,286,111,127,137,22,286,29,14,23,0.609,33,10,23,0.435,84,54,14,1159,0,21.46,84,54,14,1159,0,21.46,65,302,178,9,3048,10.09,17.12,32,234.5,79,243,406,3044,31,7.5,12.53,234.2,92,93,780,60,22,18,88,0,4.89,22,18,88,0,4.89,78,44,17,13,6,36,0.818,71,51,20,18,5,43,0.843,24,569,2767,4.86,23,212.8,112,498,2675,5.37,27,205.8,117,39,220,3,109,58,57,1,0,9,0,434,33.4,30,58,55,0,0,9,0,430,33.1,61,70,16,307,78,6,34,174,75,0.431,52,66,174,0.379,33,"   408:54","   31:27",70,11,7,18,10,9,19,-1,-0.08,"ACC",34,20,112.9,93.1,0.9023,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,50.6,46,34.2,32,68.6,2.3,"R64",7,"No",4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
"30","Louisiana State University",15,15,0,1,1080,8526,7.89,93,568.4,31,1008,5153,5.11,39,42,343.5,105,87,158,38,283,105,87,158,38,283,14,6,9,0.667,53,15,31,0.484,97,15,110,337,0,22.47,97,15,110,337,0,22.47,2,567,426,7,6024,10.62,14.14,61,401.6,59,264,521,3341,20,6.41,12.66,222.7,107,93,936,62.4,120,9,117,1,13,120,9,117,1,13,2,75,25,34,13,72,0.96,26,40,14,12,5,31,0.775,60,513,2502,4.88,32,166.8,21,487,1812,3.72,19,120.8,86,35,221,2.33,32,42,37,3,0,11,0,328,21.9,1,95,89,1,0,21,1,726,48.4,40,76,40,419,96,6.4,4,183,91,0.497,6,63,213,0.296,53,"   455:44","   30:22",15,5,17,22,5,7,12,10,0.67,"SEC",35,28,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,"S16",3,"No",5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37
"31","Marshall University",13,8,5,73,887,5119,5.77,37,393.8,57,891,4935,5.54,39,41,379.6,73,106,132,29,267,73,106,132,29,267,98,6,14,0.429,27,8,19,0.421,129,25,33,716,0,28.64,129,25,33,716,0,28.64,95,355,200,11,2605,7.34,13.03,16,200.4,75,239,410,3011,16,7.34,12.6,231.6,65,75,680,52.31,40,19,117,0,6.16,40,19,117,0,6.16,94,42,18,6,9,33,0.786,28,47,18,9,10,37,0.787,35,532,2514,4.73,21,193.4,56,481,1924,4,23,148,58,25,182,1.92,47,41,40,0,0,13,0,325,25,88,40,35,2,0,18,1,335,25.8,109,44,42,269,65,5,81,179,69,0.385,63,72,184,0.391,40,"   402:34","   30:58",78,6,10,16,7,11,18,-2,-0.15,"CUSA",37,23,105.5,106,0.486,51.9,52,15.9,20.8,22.9,32.3,30.5,32.4,52.3,51.4,34.2,35.5,75.7,-6.4,NA,NA,"Yes",4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
"32","University of Maryland",12,3,9,109,767,4121,5.37,39,343.4,109,906,5390,5.95,50,53,449.2,94,122,137,17,276,94,122,137,17,276,126,8,26,0.308,37,8,18,0.444,76,42,8,885,1,21.07,76,42,8,885,1,21.07,114,342,172,12,2088,6.11,12.14,16,174,116,264,405,3255,23,8.04,12.33,271.3,40,70,585,48.75,16,17,68,0,4,16,17,68,0,4,129,35,13,8,2,23,0.657,82,66,27,14,15,56,0.848,55,425,2033,4.78,23,169.4,83,501,2135,4.26,27,177.9,122,38,262,3.17,115,53,50,0,0,16,0,416,34.7,94,42,39,0,0,2,3,303,25.3,48,65,20,246,75,6.3,119,168,54,0.321,102,78,180,0.433,129,"   309:04","   25:45",97,6,10,16,9,12,21,-5,-0.42,"B10",34,23,111.6,93.3,0.8875,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,50.8,44.7,34.9,31.9,67.7,4.2,"R32",6,"No",14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63
"33","University of Massachusetts",12,1,11,126,822,3517,4.28,29,293.1,130,867,6734,7.77,82,86,561.2,127,162,135,14,311,127,162,135,14,311,114,11,29,0.379,108,11,18,0.611,88,29,10,629,0,21.69,88,29,10,629,0,21.69,117,392,218,16,2022,5.16,9.28,15,168.5,109,217,318,3145,32,9.89,14.49,262.1,109,83,764,63.67,112,14,167,1,11.93,112,14,167,1,11.93,105,34,10,10,6,26,0.765,107,69,38,17,6,61,0.884,114,430,1495,3.48,14,124.6,130,549,3589,6.54,50,299.1,81,27,174,2.25,130,86,84,1,0,10,0,632,52.7,118,31,30,0,0,7,0,237,19.8,127,44,8,153,48,4,110,191,66,0.346,127,73,142,0.514,126,"   314:59","   26:14",53,11,10,21,4,16,20,1,0.08,"A10",32,11,102.6,108.6,0.3433,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35,35,69,-13.8,NA,NA,"No",14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68
"34","University of Miami",13,6,7,98,844,4774,5.66,43,367.2,13,849,4028,4.74,29,30,309.8,13,83,106,30,219,13,83,106,30,219,73,13,25,0.52,123,12,17,0.706,114,28,36,670,0,23.93,114,28,36,670,0,23.93,52,437,255,10,3239,7.41,12.7,27,249.2,18,208,379,2538,16,6.7,12.2,195.2,93,91,782,60.15,28,24,132,0,5.5,28,24,132,0,5.5,122,54,13,16,10,39,0.722,41,36,9,8,12,29,0.806,120,407,1535,3.77,16,118.1,17,470,1490,3.17,13,114.6,127,51,316,3.92,23,30,28,1,0,17,1,263,20.2,90,43,38,1,0,12,0,334,25.7,4,88,40,442,108,8.3,129,162,44,0.272,42,75,202,0.371,62,"   393:04","   30:14",46,10,10,20,7,10,17,3,0.23,"ACC",32,14,109.3,98.8,0.7632,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.3,-5.1,NA,NA,"Yes",7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
"35","Miami University",14,8,6,122,870,4328,4.97,33,309.1,60,1014,5347,5.27,50,52,381.9,121,142,132,27,301,121,142,132,27,301,120,6,17,0.353,62,15,29,0.517,110,16,52,379,0,23.69,110,16,52,379,0,23.69,111,337,183,10,2495,7.4,13.63,11,178.2,40,259,436,2929,26,6.72,11.31,209.2,44,80,683,48.79,109,26,303,0,11.65,109,26,303,0,11.65,48,46,18,6,16,40,0.87,59,51,17,15,10,42,0.824,105,533,1833,3.44,22,130.9,81,578,2418,4.18,24,172.7,76,31,183,2.21,69,52,49,0,0,11,0,394,28.1,99,37,36,0,0,26,1,338,24.1,13,81,54,428,108,7.7,113,201,67,0.333,76,82,203,0.404,107,"   392:56","   28:04",52,9,11,20,8,10,18,2,0.14,"MAC",30,15,103,101.4,0.5469,48.6,51.1,18.7,16.7,30,25.3,34.7,33.9,48.7,51.3,32.3,33.9,67.6,-8.7,NA,NA,"No",9239,7788,3290,35,39,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85
"36","University of Michigan",13,9,4,68,905,5220,5.77,51,401.5,11,846,3994,4.72,36,37,307.2,22,95,103,28,226,22,95,103,28,226,60,12,22,0.545,100,13,22,0.591,105,19,34,440,1,23.16,105,19,34,440,1,23.16,50,410,228,9,3261,7.95,14.3,25,250.8,10,198,345,2412,16,6.99,12.18,185.5,51,80,649,49.92,60,19,134,0,7.05,60,19,134,0,7.05,81,59,23,13,12,48,0.814,35,34,17,8,2,27,0.794,77,495,1959,3.96,26,150.7,22,501,1582,3.16,20,121.7,58,25,207,1.92,25,37,36,1,0,3,0,269,20.7,44,52,46,3,0,16,0,412,31.7,59,60,38,387,79,6.1,74,174,68,0.391,19,59,182,0.324,76,"   383:52","   29:31",61,11,9,20,11,9,20,0,0,"B10",37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,"S16",2,"No",19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87
"37","Michigan State University",13,7,6,95,932,4835,5.19,29,371.9,18,843,4181,4.96,35,37,321.6,19,85,115,25,225,19,85,115,25,225,24,13,21,0.619,49,10,21,0.476,87,40,15,867,0,21.68,87,40,15,867,0,21.68,55,464,270,15,3182,6.86,11.79,17,244.8,37,241,403,2702,24,6.7,11.21,207.8,69,75,700,53.85,91,25,231,0,9.24,91,25,231,0,9.24,112,54,11,15,15,41,0.759,21,38,8,12,9,29,0.763,113,468,1653,3.53,12,127.2,16,440,1479,3.36,11,113.8,18,18,113,1.38,37,37,33,1,0,12,0,293,22.5,105,32,31,0,0,22,1,291,22.4,21,69,46,405,92,7.1,99,192,70,0.365,30,64,184,0.348,34,"   408:08","   31:23",78,10,12,22,9,15,24,-2,-0.15,"B10",39,32,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,"F4",2,"No",18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14,9,10520,71
"38","University of Minnesota",13,11,2,42,883,5616,6.36,56,432,10,787,3986,5.06,32,37,306.6,24,92,119,18,229,24,92,119,18,229,19,13,20,0.65,83,10,18,0.556,85,44,31,947,1,21.52,85,44,31,947,1,21.52,47,323,212,8,3293,10.2,15.53,31,253.3,9,200,357,2395,14,6.71,11.98,184.2,10,56,502,38.62,2,6,1,0,0.17,2,6,1,0,0.17,24,59,24,19,10,53,0.898,123,35,15,8,9,32,0.914,46,560,2323,4.15,25,178.7,23,430,1591,3.7,18,122.4,85,30,185,2.31,37,37,31,1,0,12,1,293,22.5,21,59,54,1,0,11,0,443,34.1,115,45,34,282,62,4.8,8,161,78,0.484,48,62,165,0.376,4,"   444:42","   34:12",40,5,14,19,7,8,15,4,0.31,"B10",36,22,110.4,96.3,0.8284,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34,68.8,2.7,"R32",10,"No",11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
"39","Mississippi State University",13,6,7,70,844,5201,6.16,46,400.1,73,824,5189,6.3,47,49,399.2,66,108,136,20,264,66,108,136,20,264,112,7,18,0.389,71,9,17,0.529,45,41,19,807,1,19.68,45,41,19,807,1,19.68,109,315,186,10,2333,7.41,12.54,19,179.5,97,224,368,3208,22,8.72,14.32,246.8,21,72,578,44.46,83,19,169,0,8.89,83,19,169,0,8.89,51,44,23,10,5,38,0.864,33,53,23,11,8,42,0.792,21,529,2868,5.42,27,220.6,59,456,1981,4.34,25,152.4,93,31,193,2.38,74,49,46,1,0,11,0,375,28.8,74,48,44,0,0,9,0,359,27.6,79,50,48,281,74,5.7,76,149,58,0.389,57,58,150,0.387,29,"   411:31","   31:39",57,14,10,24,13,10,23,1,0.08,"SEC",34,23,116.9,96.8,0.898,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,69,4.5,"R64",5,"No",4255,3277,1609,18,57,10094,1621,9866,3084,480,1479,77,77,15.9,20,6223,53
"40","University of Nebraska",12,5,7,55,867,4990,5.76,39,415.8,64,832,4666,5.61,39,41,388.8,32,116,109,14,239,32,116,109,14,239,97,10,23,0.435,36,7,16,0.438,65,45,14,932,2,20.71,65,45,14,932,2,20.71,82,323,194,9,2551,7.9,13.15,12,212.6,30,215,364,2409,14,6.62,11.2,200.8,18,61,518,43.17,7,11,25,0,2.27,7,11,25,0,2.27,115,51,24,3,11,38,0.745,122,44,20,10,10,40,0.909,30,544,2439,4.48,27,203.3,94,468,2257,4.82,25,188.1,86,28,168,2.33,66,41,38,1,0,15,1,333,27.8,72,43,40,1,0,12,0,336,28,57,57,32,307,73,6.1,51,187,77,0.412,75,69,172,0.401,92,"   346:53","   28:54",61,10,11,21,12,9,21,0,0,"B10",35,19,112.5,98.1,0.8285,49.2,48.1,14.3,19.3,28.5,32.1,33,30,48.6,46.9,33.4,33.8,68,0,NA,NA,"No",6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53
"41","University of North Carolina",13,7,6,12,959,6162,6.43,52,474,49,893,4851,5.43,37,38,373.2,47,93,134,26,253,47,93,134,26,253,18,15,23,0.652,56,8,16,0.5,90,33,41,721,0,21.85,90,33,41,721,0,21.85,25,431,265,7,3716,8.62,14.02,39,285.8,71,253,421,2985,18,7.09,11.8,229.6,70,80,701,53.92,81,16,139,0,8.69,81,16,139,0,8.69,31,55,10,21,18,49,0.891,54,44,16,9,11,36,0.818,38,528,2446,4.63,13,188.2,51,472,1866,3.95,19,143.5,113,37,227,2.85,44,38,34,2,0,14,0,308,23.7,30,53,49,3,0,19,0,430,33.1,45,65,34,291,82,6.3,47,191,79,0.414,46,70,188,0.372,56,"   394:15","   30:19",19,6,14,20,5,7,12,8,0.62,"ACC",36,29,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76,10,"S16",1,"No",14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83
"42","University of North Texas",12,4,8,54,850,5023,5.91,44,418.6,81,860,4931,5.73,45,50,410.9,58,116,120,25,261,58,116,120,25,261,55,18,32,0.563,56,10,20,0.5,108,30,16,709,2,23.63,108,30,16,709,2,23.63,27,454,283,12,3400,7.49,12.01,33,283.3,57,230,374,2668,14,7.13,11.6,222.3,78,64,672,56,100,13,138,1,10.62,100,13,138,1,10.62,71,47,8,20,11,39,0.83,127,44,24,6,11,41,0.932,99,396,1623,4.1,11,135.3,95,486,2263,4.66,31,188.6,74,26,178,2.17,105,50,39,3,0,15,0,390,32.5,52,46,43,0,0,16,0,367,30.6,52,58,32,264,74,6.2,95,173,64,0.37,93,74,177,0.418,106,"   337:41","   28:08",103,9,4,13,7,12,19,-6,-0.5,"CUSA",30,21,97.4,97.6,0.4944,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,66.9,-7.1,NA,NA,"No",4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35
"43","Northern Illinois University",12,5,7,104,824,4304,5.22,29,358.7,63,763,4638,6.08,43,43,386.5,15,101,103,20,224,15,101,103,20,224,71,12,23,0.522,37,8,18,0.444,108,30,19,709,0,23.63,108,30,19,709,0,23.63,79,370,215,11,2611,7.06,12.14,14,217.6,39,195,332,2503,18,7.54,12.84,208.6,24,62,539,44.92,48,19,123,0,6.47,48,19,123,0,6.47,23,31,12,7,9,28,0.903,50,48,21,7,11,39,0.813,92,454,1693,3.73,15,141.1,83,431,2135,4.95,25,177.9,64,24,184,2,71,43,40,2,0,12,0,338,28.2,103,33,30,1,0,14,1,274,22.8,103,43,36,206,61,5.1,117,177,57,0.322,27,53,156,0.34,16,"   393:04","   32:45",103,9,4,13,8,11,19,-6,-0.5,"MAC",32,17,106.6,104.8,0.5498,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50,36.5,36.1,67.3,-8.9,NA,NA,"No",10706,7219,2397,12,37,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56
"44","Northwestern University",12,3,9,124,842,3565,4.23,23,297.1,25,796,4028,5.06,31,34,335.7,7,81,108,22,211,7,81,108,22,211,110,11,28,0.393,17,5,13,0.385,55,29,9,588,0,20.28,55,29,9,588,0,20.28,126,312,156,15,1404,4.5,9,6,117,23,220,360,2385,17,6.63,10.84,198.8,39,65,582,48.5,9,17,48,0,2.82,9,17,48,0,2.82,101,31,12,4,8,24,0.774,63,42,10,15,10,35,0.833,44,530,2161,4.08,17,180.1,36,436,1643,3.77,14,136.9,55,23,166,1.92,43,34,34,0,0,15,0,283,23.6,126,24,18,0,0,10,2,196,16.3,74,55,28,236,69,5.8,101,193,69,0.358,81,73,180,0.406,66,"   360:36","   30:03",121,7,7,14,9,15,24,-10,-0.83,"B10",32,13,101.2,92.8,0.7319,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,46.4,48,31.3,29.3,67.3,-5.7,NA,NA,"Yes",12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
"45","University of Notre Dame",13,11,2,43,886,5608,6.33,57,431.4,18,894,4181,4.68,25,26,321.6,29,118,102,15,235,29,118,102,15,235,13,17,25,0.68,40,10,22,0.455,18,35,40,626,0,17.89,18,35,40,626,0,17.89,49,416,253,6,3278,7.88,12.96,37,252.2,3,203,374,2191,13,5.86,10.79,168.5,57,84,665,51.15,15,18,70,0,3.89,15,18,70,0,3.89,10,55,16,26,9,51,0.927,129,30,9,8,12,29,0.967,45,470,2330,4.96,20,179.2,60,520,1990,3.83,12,153.1,12,16,81,1.23,12,26,26,0,0,17,0,233,17.9,13,61,61,0,0,17,0,478,36.8,23,76,30,355,91,7,65,184,74,0.402,18,64,198,0.323,96,"   372:59","   28:41",4,19,9,28,5,6,11,17,1.31,"ACC",33,14,107.3,99.8,0.6981,46.2,49,14,16.4,29,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.6,-5.7,NA,NA,"Yes",7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97
"46","Ohio University",13,7,6,29,861,5749,6.68,57,442.2,76,882,5248,5.95,42,43,403.7,79,123,127,20,270,79,123,127,20,270,58,5,9,0.556,97,11,19,0.579,2,36,24,580,0,16.11,2,36,24,580,0,16.11,77,335,203,6,2866,8.56,14.12,21,220.5,83,250,418,3086,21,7.38,12.34,237.4,37,70,627,48.23,39,15,92,1,6.13,39,15,92,1,6.13,24,59,30,11,12,53,0.898,57,45,17,9,11,37,0.822,20,526,2883,5.48,36,221.8,77,464,2162,4.66,21,166.3,32,21,150,1.62,60,43,36,0,0,17,0,345,26.5,20,57,54,1,0,16,0,446,34.3,108,40,52,270,66,5.1,6,168,83,0.494,71,70,177,0.395,28,"   412:40","   31:44",90,10,5,15,13,6,19,-4,-0.31,"MAC",30,14,98.4,100.5,0.4396,48.6,50.8,20,18.5,28.2,27.4,33.2,31.2,50.7,48.9,29.7,35.9,70.8,-8.7,NA,NA,"No",11023,8298,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64
